,question,ground_truth,answer,rouge1,rouge2,rougeL,f1,sas,bertscore
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica", El Estatuto de los Trabajadores no se aplica en las empresas que hayan sido sometidas a un procedimiento concursal.,0.18,0.04,0.15,0.16,0.34163472,0.9
1,¿Qué se considera un empresario en la legislación laboral?,"Serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas."," El empresario, en la legislación laboral, es una persona que dirige o administra una empresa que emplea a más de trescientos trabajadores. En dicho contexto, se consideran modificaciones individuales las que no superen los umbrales establecidos para las modificaciones colectivas.",0.31,0.0,0.18,0.19,0.32773024,0.95
2,¿Qué relaciones laborales se excluyen de la aplicación del ET?,"Se excluyen del ámbito regulado por esta ley:
a) La relación de servicio de los funcionarios públicos, que se regirá por las correspon-dientes normas legales y reglamentarias, así como la del personal al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por normas administrativas o estatutarias.
b) Las prestaciones personales obligatorias.
c) La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo.
d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad.
e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adop-ción.
f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma.
g) En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.
A tales efectos se entenderá excluida del ámbito laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición osten-ten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador o comercializador
", Las relaciones laborales que se excluyen de la aplicación del ET son aquellas que ocurren en empresas que se hayan sometido a un procedimiento concursal. También no serán de aplicación las retribuciones del personal de alta dirección y el personal de representación institucional de los empresarios en defensa de intereses generales de los empresarios ante las administraciones públicas y otras entidades u organismos de gobierno.,0.22,0.06,0.14,0.1,0.59076804,0.95
3,"Si tengo una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España?",La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero," Si tienes una empresa en España, los trabajadores españoles contratados en España tienen derecho a realizar su trabajo total o parcialmente a distancia y tendrán derecho a ausentarse del trabajo por causa de fuerza mayor. Estos derechos se pueden regular según lo establecido en los convenios colectivos, los acuerdos entre la empresa y los representantes legales de las personas trabajadoras o conforme al acuerdo entre la empresa y las personas trabajadoras afectadas. Si no hay ninguna regla específica, estos derechos se aplicarán según las reglas establecidas en el apartado anterior. La concreción de estos derechos corresponderá a las partes implicadas en caso de discrepancias. Los trabajadores tienen derecho a ausentarse del trabajo por causa de fuerza mayor, pero siempre que esta modalidad de prestación de servicios sea compatible con el puesto y funciones desarrolladas por la persona.",0.24,0.09,0.15,0.15,0.62971914,0.89
4, ¿Qué es un centro de trabajo?,"se considera centro de trabajo la unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral."," Un centro de trabajo es un espacio físico donde se desarrollan las actividades laborales. En el contexto proporcionado, se trata de lugares que tienen entre cien y trescientos trabajadores, o en empresas que ocupen más de trescientos trabajadores en total. La ley indica que es posible realizar elecciones en estos centros de trabajo, previa comunicación y acuerdo mayoritario de los sindicatos más representativos.",0.18,0.04,0.13,0.12,0.46224266,0.93
5,¿Hay relaciones laborales de carácter especial?,"
a) La del personal de alta dirección no incluido en el artículo 1.3.c
b) La del servicio del hogar familiar. 
c) La de los penados en las instituciones penitenciarias. 
d) La de los deportistas profesionales.
e) La de los artistas en espectáculos públicos.
f) La de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas. 
g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. 
i)  La de los menores sometidos a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. 
j)   La de residencia para la formación de especialistas en Ciencias de la Salud.
k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos. 
"," Sí, hay relaciones laborales de carácter especial en los casos de centros especiales de empleo y en las actividades artísticas escénicas, audiovisuales y musicales. También se aplica un régimen jurídico diferente en contratas y subcontratas suscritas con estos centros especiales de empleo.",0.18,0.05,0.15,0.1,0.32096645,0.94
6, ¿Cuál es el marco legal al que están sujetas las relaciones laborales de carácter especial?,respetará los derechos básicos reconocidos por la Constitución.," Las relaciones laborales de carácter especial están sujetas al marco legal que incluye la proporcionalidad y transparencia. Esto se aplica en la asignación de puestos de trabajo, el derecho a acceder a las iniciativas de formación profesional durante los periodos de inactividad, la no discriminación en las relaciones laborales y la adhesión y extensión a los convenios colectivos.",0.11,0.0,0.08,0.06,0.30981147,0.9
7, ¿Dónde se regulan los derechos y obligaciones de la relación laboral? ¿Dónde tengo que acudir para conocer los derechos de las relaciones laborales?,"disposiciones legales y reglamentarias del Estado.
convenios colectivos.
voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos  
usos y costumbres. 
"," Los derechos y obligaciones en la relación laboral se regulan según el apartado anterior, en particular los derechos de las personas que prestan servicios en empresas. Dichos derechos incluyen la regulación del tiempo de trabajo, el derecho a realizar su trabajo a distancia y tener una modalidad compatible con su puesto y funciones, entre otros. Estos derechos se pueden ejercer según los convenios colectivos o acuerdos individuales entre la empresa y las personas trabajadoras. Si no hay ninguno de estos, aplica lo que se establece en el apartado anterior, incluyendo la resolución de discrepancias. Además, la persona trabajadora tiene derecho a ausentarse del trabajo por causa de fuerza mayor.",0.27,0.05,0.16,0.16,0.5158703,0.97
8,¿Bajo qué principio se aplicarán las disposiciones legales y reglamentarias?,sujeción estricta al principio de jerarquía normativa.," Los derechos y obligaciones en el ámbito laboral se regulan por las disposiciones legales y reglamentarias del Estado, los convenios colectivos y la voluntad de las partes manifestada en el contrato de trabajo. También pueden tener importancia los usos y costumbres locales y profesionales. Las disposiciones legales y reglamentarias se aplicarán con sujeción estricta al principio de jerarquía normativa, es decir, las disposiciones reglamentarias desarrollarán los preceptos que establecen las normas de rango superior pero no podrán establecer condiciones de trabajo distintas a las establecidas por las leyes.",0.17,0.16,0.17,0.13,0.6036994,0.87
9,¿Qué sucede si hay preceptos contradictorios de dos o más normas laborales?,"se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."," Si hay preceptos contradictorios de dos o más normas laborales, se resolverán mediante la aplicación de lo más favorable para el trabajador. Esta aplicación se hace en conjunto y en cuenta anual con respecto de los conceptos cuantificables. Los usos y costumbres solo se aplicarán en defecto de disposiciones legales, convencionales o contractuales. Los trabajadores no pueden disponer de los derechos que tengan reconocidos por disposiciones legales de derecho necesario ni de los derechos reconocidos como indisponibles por convenio colectivo. La consulta sobre causas motivadoras de una decisión empresarial y su posible evitación o reducción se realizará en una única comisión negociadora integrada por un máximo de trece miembros en representación de cada una de las partes, si bien solo afecta a los centros de trabajo que estén involucrados en el procedimiento.",0.3,0.23,0.29,0.23,0.52168065,0.92
